"Nome Universo";"Data Atualização Dados";"UF";"Localidade";"UO (Cod)";"UO";"Funcional";"Ação + Subtítulo";"Esfera (Cod)";"GND (Cod)";"Mod. Aplic.(Cod)";"Emenda";"Autor";"Autor (UF)";"Partido";"PL";"Acréscimos Autógrafo";"Parecer Emendas";"Dotação Inicial";"Autorizado";"Empenhado";"Liquidado";"Pago";"RP Não-Proc Pago";"RP Proc Pago";"RP Não-Proc Inscrito";"RP Proc Inscrito";"UO (Cod/Desc)";"Autor (Tipo)"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"90";"26870025";"SIBÁ MACHADO";"AC";"PT";"13922098";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"90";"29120017";"ANIBAL DINIZ";"AC";"PT";"13922098";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"91";"11810012";"HENRIQUE AFONSO";"AC";"PV";"1255880";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"91";"24010007";"GLADSON CAMELI";"AC";"PP";"1255880";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"91";"26870025";"SIBÁ MACHADO";"AC";"PT";"1255880";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"3";"91";"29120017";"ANIBAL DINIZ";"AC";"PT";"1255880";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"4";"90";"11810012";"HENRIQUE AFONSO";"AC";"PV";"2789111";"1200000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"4";"90";"24010007";"GLADSON CAMELI";"AC";"PP";"2789111";"1000000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"4";"90";"26870025";"SIBÁ MACHADO";"AC";"PT";"2789111";"450000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12.364.2032.20RK.0012";"FUNCIONAMENTO DE INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR - NO ESTADO DO ACRE";"F";"4";"90";"29120017";"ANIBAL DINIZ";"AC";"PT";"2789111";"400000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26275 - FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26298";"FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO";"12.368.2030.20RP.0012";"INFRAESTRUTURA PARA A EDUCAÇÃO BÁSICA - NO ESTADO DO ACRE";"F";"4";"30";"81001480";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"800000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26298 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"26425";"INSTITUTO FEDERAL DO ACRE";"12.363.2031.20RG.0012";"EXPANSÃO E REESTRUTURAÇÃO DE INSTITUIÇÕES FEDERAIS DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - NO ESTADO DO ACRE";"F";"4";"90";"26870016";"SIBÁ MACHADO";"AC";"PT";"9000000";"100000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26425 - INSTITUTO FEDERAL DO ACRE";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"06.181.2070.8855.0012";"FORTALECIMENTO DAS INSTITUIÇÕES DE SEGURANÇA PÚBLICA - NO ESTADO DO ACRE";"F";"3";"30";"81000656";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"150000";"300000";"150000";"150000";"150000";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"06.181.2070.8855.0012";"FORTALECIMENTO DAS INSTITUIÇÕES DE SEGURANÇA PÚBLICA - NO ESTADO DO ACRE";"F";"4";"30";"81000656";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"50000";"100000";"50000";"50000";"50000";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.2334.0012";"PROTEÇÃO E DEFESA DO CONSUMIDOR - NO ESTADO DO ACRE";"F";"3";"30";"81000657";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"250000";"500000";"250000";"250000";"250000";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.2334.0012";"PROTEÇÃO E DEFESA DO CONSUMIDOR - NO ESTADO DO ACRE";"F";"4";"30";"81000657";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"100000";"200000";"100000";"100000";"100000";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.8974.0012";"DEMOCRATIZAÇÃO DO ACESSO À CIDADANIA E À JUSTIÇA - NO ESTADO DO ACRE";"F";"3";"30";"26870008";"SIBÁ MACHADO";"AC";"PT";"0";"100000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.8974.0012";"DEMOCRATIZAÇÃO DO ACESSO À CIDADANIA E À JUSTIÇA - NO ESTADO DO ACRE";"F";"3";"30";"26880004";"TAUMATURGO LIMA";"AC";"PT";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.8974.0012";"DEMOCRATIZAÇÃO DO ACESSO À CIDADANIA E À JUSTIÇA - NO ESTADO DO ACRE";"F";"3";"30";"29140011";"SÉRGIO PETECÃO";"AC";"PSD";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.8974.0012";"DEMOCRATIZAÇÃO DO ACESSO À CIDADANIA E À JUSTIÇA - NO ESTADO DO ACRE";"F";"4";"30";"26870008";"SIBÁ MACHADO";"AC";"PT";"0";"200000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.8974.0012";"DEMOCRATIZAÇÃO DO ACESSO À CIDADANIA E À JUSTIÇA - NO ESTADO DO ACRE";"F";"4";"30";"26880004";"TAUMATURGO LIMA";"AC";"PT";"0";"300000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30101";"MINISTÉRIO DA JUSTIÇA";"14.422.2020.8974.0012";"DEMOCRATIZAÇÃO DO ACESSO À CIDADANIA E À JUSTIÇA - NO ESTADO DO ACRE";"F";"4";"30";"29140011";"SÉRGIO PETECÃO";"AC";"PSD";"0";"562300";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30101 - MINISTÉRIO DA JUSTIÇA";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30912";"FUNDO NACIONAL ANTIDROGAS";"14.422.2060.20IE.0012";"POLÍTICA PÚBLICA SOBRE DROGAS - NO ESTADO DO ACRE";"F";"3";"30";"81000652";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"170000";"510000";"170000";"170000";"0";"0";"0";"0";"0";"150000";"0";"30912 - FUNDO NACIONAL ANTIDROGAS";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30912";"FUNDO NACIONAL ANTIDROGAS";"14.422.2060.20IE.0012";"POLÍTICA PÚBLICA SOBRE DROGAS - NO ESTADO DO ACRE";"F";"4";"30";"81000652";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"1330000";"2660000";"1330000";"1330000";"0";"0";"0";"0";"0";"0";"0";"30912 - FUNDO NACIONAL ANTIDROGAS";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30912";"FUNDO NACIONAL ANTIDROGAS";"14.422.2060.20R9.0012";"PREVENÇÃO DE USO E/OU ABUSO DE DROGAS - NO ESTADO DO ACRE";"F";"4";"30";"11970007";"PERPÉTUA ALMEIDA";"AC";"PCdoB";"0";"1000000";"4800000";"1200000";"1200000";"173000";"0";"0";"0";"0";"0";"0";"30912 - FUNDO NACIONAL ANTIDROGAS";"DEPUTADO FEDERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"30912";"FUNDO NACIONAL ANTIDROGAS";"14.422.2060.20R9.0012";"PREVENÇÃO DE USO E/OU ABUSO DE DROGAS - NO ESTADO DO ACRE";"F";"4";"30";"29130013";"JORGE VIANA";"AC";"PT";"0";"200000";"4800000";"1200000";"1200000";"173000";"0";"0";"0";"0";"0";"0";"30912 - FUNDO NACIONAL ANTIDROGAS";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"30";"29130001";"JORGE VIANA";"AC";"PT";"0";"700000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"30";"29130002";"JORGE VIANA";"AC";"PT";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"30";"29140005";"SÉRGIO PETECÃO";"AC";"PSD";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"30";"81000905";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"1000000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"40";"29130001";"JORGE VIANA";"AC";"PT";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"40";"29130002";"JORGE VIANA";"AC";"PT";"0";"1100000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"40";"29140005";"SÉRGIO PETECÃO";"AC";"PSD";"0";"3050000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"SENADOR"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.511.2068.7656.0012";"IMPLANTAÇÃO, AMPLIAÇÃO OU MELHORIA DE AÇÕES E SERVIÇOS SUSTENTÁVEIS DE SANEAMENTO BÁSICO EM PEQUENAS LOCALIDADES, COMUNIDADES RURAIS, TRADICIONAIS E ESPECIAIS PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"40";"81000905";"RELATOR GERAL";"NÃO INFORMADO";"S/PARTIDO";"0";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"RELATOR GERAL"
"LOA2015 - Despesa Execução";"2015/12/31 00:00:00";"AC";"ACRE (ESTADO)";"36211";"FUNDAÇÃO NACIONAL DE SAÚDE";"10.512.2068.7652.0012";"IMPLANTAÇÃO DE MELHORIAS SANITÁRIAS DOMICILIARES PARA PREVENÇÃO E CONTROLE DE DOENÇAS E AGRAVOS - NO ESTADO DO ACRE";"S";"4";"40";"24010005";"GLADSON CAMELI";"AC";"PP";"0";"4562300";"93373000";"21374600";"21824600";"10420544";"0";"0";"0";"0";"9850000";"0";"36211 - FUNDAÇÃO NACIONAL DE SAÚDE";"DEPUTADO FEDERAL"
